Prompts_with_Context,labels,responses
"Given the following:
Nitrogen Content: 88.0, Phosphorous Content: 52.0, Potassium Content: 39.0, Temperature: 23.92887902, Humidity: 88.07112278, pH: 6.880204617, Rainfall: 154.6608736, Plant jute
Nitrogen Content: 89.0, Phosphorous Content: 47.0, Potassium Content: 38.0, Temperature: 25.52468965, Humidity: 72.24850829, pH: 6.002524871, Rainfall: 151.8869972, Plant jute
Nitrogen Content: 91.0, Phosphorous Content: 35.0, Potassium Content: 38.0, Temperature: 24.8972823, Humidity: 80.52586088, pH: 6.13428721, Rainfall: 183.6793207, Plant rice
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 88.0, Phosphorous Content: 78.0, Potassium Content: 45.0, Temperature: 29.10403455, Humidity: 79.19588629, pH: 6.324270089, Rainfall: 92.07835761
Provide a one word answer.",banana,  Rice
"Given the following:
Nitrogen Content: 93.0, Phosphorous Content: 53.0, Potassium Content: 38.0, Temperature: 26.92995077, Humidity: 81.91411159, pH: 7.069172227, Rainfall: 290.6793783, Plant rice
Nitrogen Content: 93.0, Phosphorous Content: 85.0, Potassium Content: 49.0, Temperature: 27.96799119, Humidity: 79.28625709, pH: 5.694243847, Rainfall: 119.4765557, Plant banana
Nitrogen Content: 93.0, Phosphorous Content: 83.0, Potassium Content: 46.0, Temperature: 29.38254012, Humidity: 83.50423735, pH: 5.765308943, Rainfall: 109.2486647, Plant banana
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 93.0, Phosphorous Content: 94.0, Potassium Content: 53.0, Temperature: 25.86632408, Humidity: 84.42379269, pH: 6.079178788, Rainfall: 114.5357503
Provide a one word answer.",banana,  Sugarcane
"Given the following:
Nitrogen Content: 32.0, Phosphorous Content: 79.0, Potassium Content: 15.0, Temperature: 23.90910104, Humidity: 20.74619325, pH: 5.706198621, Rainfall: 81.60211243, Plant kidneybeans
Nitrogen Content: 32.0, Phosphorous Content: 70.0, Potassium Content: 20.0, Temperature: 20.89342749, Humidity: 46.24856523, pH: 6.208843215, Rainfall: 195.5697875, Plant pigeonpeas
Nitrogen Content: 32.0, Phosphorous Content: 14.0, Potassium Content: 37.0, Temperature: 22.73031253, Humidity: 88.48567856, pH: 6.825256236, Rainfall: 104.6843243, Plant pomegranate
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 32.0, Phosphorous Content: 73.0, Potassium Content: 81.0, Temperature: 20.45078582, Humidity: 15.40312102, pH: 5.988992796, Rainfall: 92.68373702
Provide a one word answer.",chickpea,  Pomegranate
"Given the following:
Nitrogen Content: 120.0, Phosphorous Content: 20.0, Potassium Content: 45.0, Temperature: 25.66576039, Humidity: 88.6984228, pH: 6.114128685, Rainfall: 54.22722466, Plant watermelon
Nitrogen Content: 120.0, Phosphorous Content: 20.0, Potassium Content: 34.0, Temperature: 23.56960509, Humidity: 50.56339727, pH: 6.906124587, Rainfall: 130.3797119, Plant coffee
Nitrogen Content: 120.0, Phosphorous Content: 19.0, Potassium Content: 49.0, Temperature: 25.79448878, Humidity: 84.26830701, pH: 6.762471629, Rainfall: 56.45229202, Plant watermelon
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 120.0, Phosphorous Content: 60.0, Potassium Content: 15.0, Temperature: 22.31871914, Humidity: 83.86129998, pH: 7.288377241, Rainfall: 65.35747011
Provide a one word answer.",cotton,  Watermelon
"Given the following:
Nitrogen Content: 37.0, Phosphorous Content: 73.0, Potassium Content: 21.0, Temperature: 29.50304807, Humidity: 63.46513414, pH: 5.560224583, Rainfall: 189.5208915, Plant pigeonpeas
Nitrogen Content: 37.0, Phosphorous Content: 66.0, Potassium Content: 85.0, Temperature: 20.93175255, Humidity: 18.91295403, pH: 6.456148474, Rainfall: 78.06910795, Plant chickpea
Nitrogen Content: 36.0, Phosphorous Content: 67.0, Potassium Content: 77.0, Temperature: 18.36952567, Humidity: 19.56381041, pH: 7.152811172, Rainfall: 79.26357665, Plant chickpea
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 37.0, Phosphorous Content: 77.0, Potassium Content: 17.0, Temperature: 36.20970524, Humidity: 31.94550613, pH: 5.617122801, Rainfall: 191.0658531
Provide a one word answer.",pigeonpeas,  Peas
"Given the following:
Nitrogen Content: 40.0, Phosphorous Content: 61.0, Potassium Content: 22.0, Temperature: 20.94981756, Humidity: 65.8108757, pH: 7.002216044, Rainfall: 44.23913012, Plant lentil
Nitrogen Content: 40.0, Phosphorous Content: 63.0, Potassium Content: 18.0, Temperature: 30.41588462, Humidity: 67.66323804, pH: 6.74441168, Rainfall: 63.02473185, Plant blackgram
Nitrogen Content: 40.0, Phosphorous Content: 49.0, Potassium Content: 17.0, Temperature: 31.02215872, Humidity: 45.89239456, pH: 6.68727523, Rainfall: 53.56783314, Plant mothbeans
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 40.0, Phosphorous Content: 59.0, Potassium Content: 23.0, Temperature: 36.89163721, Humidity: 62.73178224, pH: 5.269084669, Rainfall: 163.7266551
Provide a one word answer.",pigeonpeas,"  Sure! Based on the given conditions, the ideal crop to plant would be ""Rainfed Blackgram""."
"Given the following:
Nitrogen Content: 40.0, Phosphorous Content: 17.0, Potassium Content: 15.0, Temperature: 21.35093384, Humidity: 90.9492967, pH: 7.871063004, Rainfall: 107.0862095, Plant orange
Nitrogen Content: 40.0, Phosphorous Content: 61.0, Potassium Content: 22.0, Temperature: 20.94981756, Humidity: 65.8108757, pH: 7.002216044, Rainfall: 44.23913012, Plant lentil
Nitrogen Content: 40.0, Phosphorous Content: 22.0, Potassium Content: 29.0, Temperature: 27.55821802, Humidity: 99.98187601, pH: 5.735364307, Rainfall: 174.6256481, Plant coconut
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 40.0, Phosphorous Content: 70.0, Potassium Content: 20.0, Temperature: 31.80130272, Humidity: 45.03186173, pH: 5.623490043, Rainfall: 147.0361442
Provide a one word answer.",pigeonpeas,  Coconut
"Given the following:
Nitrogen Content: 80.0, Phosphorous Content: 52.0, Potassium Content: 39.0, Temperature: 26.41915161, Humidity: 76.85691248, pH: 7.165696848, Rainfall: 197.2101782, Plant jute
Nitrogen Content: 80.0, Phosphorous Content: 18.0, Potassium Content: 52.0, Temperature: 27.87317436, Humidity: 91.14849627, pH: 6.484799661, Rainfall: 24.05207925, Plant muskmelon
Nitrogen Content: 81.0, Phosphorous Content: 36.0, Potassium Content: 38.0, Temperature: 23.76554749, Humidity: 87.98329901, pH: 6.334837865, Rainfall: 150.3166152, Plant jute
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 80.0, Phosphorous Content: 15.0, Potassium Content: 28.0, Temperature: 23.11438731, Humidity: 68.00096043, pH: 6.703270635, Rainfall: 161.8944624
Provide a one word answer.",coffee,  Jute
"Given the following:
Nitrogen Content: 0.0, Phosphorous Content: 145.0, Potassium Content: 205.0, Temperature: 21.22503442, Humidity: 90.09877774, pH: 5.52078314, Rainfall: 113.9760462, Plant apple
Nitrogen Content: 0.0, Phosphorous Content: 18.0, Potassium Content: 14.0, Temperature: 29.77149434, Humidity: 92.00719952, pH: 7.207991261, Rainfall: 114.4161786, Plant orange
Nitrogen Content: 0.0, Phosphorous Content: 65.0, Potassium Content: 24.0, Temperature: 28.49584395, Humidity: 62.44616219, pH: 7.841496029, Rainfall: 53.14531023, Plant lentil
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 0.0, Phosphorous Content: 123.0, Potassium Content: 205.0, Temperature: 22.02775403, Humidity: 92.96129462, pH: 5.790993052, Rainfall: 121.1349176
Provide a one word answer.",apple,  Wheat
"Given the following:
Nitrogen Content: 44.0, Phosphorous Content: 64.0, Potassium Content: 54.0, Temperature: 29.80744318, Humidity: 91.38048469, pH: 6.74274935, Rainfall: 232.7046126, Plant papaya
Nitrogen Content: 45.0, Phosphorous Content: 47.0, Potassium Content: 55.0, Temperature: 38.4191628, Humidity: 91.14220381, pH: 6.751452932, Rainfall: 119.2653877, Plant papaya
Nitrogen Content: 43.0, Phosphorous Content: 50.0, Potassium Content: 48.0, Temperature: 28.28222883, Humidity: 91.37059792, pH: 6.63016515, Rainfall: 179.2720807, Plant papaya
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 44.0, Phosphorous Content: 60.0, Potassium Content: 55.0, Temperature: 34.2804607, Humidity: 90.55561637, pH: 6.825371185, Rainfall: 98.54047745
Provide a one word answer.",papaya,  Papaya
"Given the following:
Nitrogen Content: 23.0, Phosphorous Content: 30.0, Potassium Content: 44.0, Temperature: 20.93892916, Humidity: 85.42912869, pH: 6.12476108, Rainfall: 103.0295938, Plant pomegranate
Nitrogen Content: 23.0, Phosphorous Content: 23.0, Potassium Content: 30.0, Temperature: 32.82141065, Humidity: 47.45553843, pH: 4.755273631, Rainfall: 90.89173106, Plant mango
Nitrogen Content: 23.0, Phosphorous Content: 39.0, Potassium Content: 22.0, Temperature: 29.25649321, Humidity: 81.97952224, pH: 6.86483915, Rainfall: 42.02483277, Plant mungbean
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 23.0, Phosphorous Content: 45.0, Potassium Content: 23.0, Temperature: 28.77653519, Humidity: 86.69133979, pH: 6.983130466, Rainfall: 56.12443206
Provide a one word answer.",mungbean,  Mungbean.
"Given the following:
Nitrogen Content: 34.0, Phosphorous Content: 65.0, Potassium Content: 48.0, Temperature: 41.41968393, Humidity: 90.03863107, pH: 6.665024508, Rainfall: 199.3096432, Plant papaya
Nitrogen Content: 34.0, Phosphorous Content: 61.0, Potassium Content: 49.0, Temperature: 28.12971499, Humidity: 93.3210737, pH: 6.502675132, Rainfall: 117.8201907, Plant papaya
Nitrogen Content: 34.0, Phosphorous Content: 34.0, Potassium Content: 35.0, Temperature: 27.27433181, Humidity: 47.16808054, pH: 6.422710539, Rainfall: 95.257992, Plant mango
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 34.0, Phosphorous Content: 48.0, Potassium Content: 48.0, Temperature: 41.04224355, Humidity: 91.37258067, pH: 6.805277038, Rainfall: 181.527598
Provide a one word answer.",papaya,  Coconut
"Given the following:
Nitrogen Content: 26.0, Phosphorous Content: 15.0, Potassium Content: 6.0, Temperature: 17.22034507, Humidity: 94.78797376, pH: 6.912033409, Rainfall: 108.0054343, Plant orange
Nitrogen Content: 26.0, Phosphorous Content: 80.0, Potassium Content: 83.0, Temperature: 17.08498521, Humidity: 16.14565756, pH: 7.528599957, Rainfall: 71.31007253, Plant chickpea
Nitrogen Content: 26.0, Phosphorous Content: 27.0, Potassium Content: 10.0, Temperature: 28.06903173, Humidity: 92.91487288, pH: 6.079998496, Rainfall: 114.1339416, Plant orange
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 26.0, Phosphorous Content: 11.0, Potassium Content: 11.0, Temperature: 13.70319166, Humidity: 90.95589386, pH: 7.609348255, Rainfall: 106.2944879
Provide a one word answer.",orange,  Orange
"Given the following:
Nitrogen Content: 0.0, Phosphorous Content: 55.0, Potassium Content: 22.0, Temperature: 22.98666928, Humidity: 20.57940608, pH: 5.916779289, Rainfall: 143.8584938, Plant kidneybeans
Nitrogen Content: 0.0, Phosphorous Content: 55.0, Potassium Content: 25.0, Temperature: 28.17489437, Humidity: 43.6672299, pH: 4.524171562, Rainfall: 45.78172762, Plant mothbeans
Nitrogen Content: 0.0, Phosphorous Content: 65.0, Potassium Content: 24.0, Temperature: 28.49584395, Humidity: 62.44616219, pH: 7.841496029, Rainfall: 53.14531023, Plant lentil
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 0.0, Phosphorous Content: 65.0, Potassium Content: 15.0, Temperature: 23.46168338, Humidity: 23.22197648, pH: 5.645435626, Rainfall: 95.84253438
Provide a one word answer.",kidneybeans,  Lentil
"Given the following:
Nitrogen Content: 40.0, Phosphorous Content: 5.0, Potassium Content: 32.0, Temperature: 26.07010807, Humidity: 96.7036223, pH: 5.981169595, Rainfall: 143.533473, Plant coconut
Nitrogen Content: 40.0, Phosphorous Content: 30.0, Potassium Content: 35.0, Temperature: 20.89273273, Humidity: 91.07776977, pH: 6.269663963, Rainfall: 104.4407083, Plant pomegranate
Nitrogen Content: 40.0, Phosphorous Content: 22.0, Potassium Content: 29.0, Temperature: 27.55821802, Humidity: 99.98187601, pH: 5.735364307, Rainfall: 174.6256481, Plant coconut
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 40.0, Phosphorous Content: 5.0, Potassium Content: 29.0, Temperature: 28.48444906, Humidity: 97.76865458, pH: 5.820978791, Rainfall: 160.389421
Provide a one word answer.",coconut,  Coconut
"Given the following:
Nitrogen Content: 118.0, Phosphorous Content: 44.0, Potassium Content: 23.0, Temperature: 22.08458267, Humidity: 82.82904143, pH: 6.691690476, Rainfall: 67.06459777, Plant cotton
Nitrogen Content: 118.0, Phosphorous Content: 13.0, Potassium Content: 54.0, Temperature: 24.41311871, Humidity: 89.81574032, pH: 6.039584629, Rainfall: 44.07843475, Plant watermelon
Nitrogen Content: 118.0, Phosphorous Content: 88.0, Potassium Content: 52.0, Temperature: 28.65003945, Humidity: 82.68752542, pH: 5.843163161, Rainfall: 98.75084366, Plant banana
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 118.0, Phosphorous Content: 45.0, Potassium Content: 23.0, Temperature: 23.37044424, Humidity: 77.43198948, pH: 7.977651226, Rainfall: 71.67870701
Provide a one word answer.",cotton,  Cotton
"Given the following:
Nitrogen Content: 6.0, Phosphorous Content: 77.0, Potassium Content: 25.0, Temperature: 20.61162204, Humidity: 24.36314135, pH: 5.792744849, Rainfall: 69.63833855, Plant kidneybeans
Nitrogen Content: 6.0, Phosphorous Content: 63.0, Potassium Content: 23.0, Temperature: 26.01630259, Humidity: 49.94704718, pH: 5.906596905, Rainfall: 160.3337447, Plant pigeonpeas
Nitrogen Content: 7.0, Phosphorous Content: 56.0, Potassium Content: 18.0, Temperature: 18.31357543, Humidity: 24.32991649, pH: 5.698371311, Rainfall: 76.14153904, Plant kidneybeans
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 6.0, Phosphorous Content: 77.0, Potassium Content: 20.0, Temperature: 25.78746268, Humidity: 60.2816298, pH: 6.058306161, Rainfall: 49.14337177
Provide a one word answer.",lentil,  Kidneybeans
"Given the following:
Nitrogen Content: 55.0, Phosphorous Content: 77.0, Potassium Content: 22.0, Temperature: 31.4345059, Humidity: 62.99303471, pH: 7.76061831, Rainfall: 64.77651469, Plant blackgram
Nitrogen Content: 60.0, Phosphorous Content: 43.0, Potassium Content: 44.0, Temperature: 21.01944696, Humidity: 82.95221726, pH: 7.416245107, Rainfall: 298.4018471, Plant rice
Nitrogen Content: 60.0, Phosphorous Content: 36.0, Potassium Content: 43.0, Temperature: 23.43121862, Humidity: 83.06310136, pH: 5.286203711, Rainfall: 219.9048349, Plant rice
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 60.0, Phosphorous Content: 59.0, Potassium Content: 22.0, Temperature: 31.86847286, Humidity: 66.74217464, pH: 7.191522601, Rainfall: 74.22238583
Provide a one word answer.",blackgram,  Rice
"Given the following:
Nitrogen Content: 82.0, Phosphorous Content: 18.0, Potassium Content: 48.0, Temperature: 29.09588297, Humidity: 94.16748386, pH: 6.159050816, Rainfall: 26.70581328, Plant muskmelon
Nitrogen Content: 84.0, Phosphorous Content: 40.0, Potassium Content: 42.0, Temperature: 26.2830571, Humidity: 73.35763537, pH: 6.704273839, Rainfall: 186.6898282, Plant jute
Nitrogen Content: 82.0, Phosphorous Content: 26.0, Potassium Content: 47.0, Temperature: 28.50416396, Humidity: 93.46806467, pH: 6.565312653, Rainfall: 24.20007242, Plant muskmelon
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 84.0, Phosphorous Content: 18.0, Potassium Content: 46.0, Temperature: 27.08808014, Humidity: 93.42402083, pH: 6.781050373, Rainfall: 25.32159689
Provide a one word answer.",muskmelon,  Muskmelon
"Given the following:
Nitrogen Content: 25.0, Phosphorous Content: 7.0, Potassium Content: 35.0, Temperature: 28.38503882, Humidity: 99.18843684, pH: 5.55771171, Rainfall: 189.6711349, Plant coconut
Nitrogen Content: 25.0, Phosphorous Content: 70.0, Potassium Content: 16.0, Temperature: 19.63474332, Humidity: 18.90705639, pH: 5.759237003, Rainfall: 106.3598183, Plant kidneybeans
Nitrogen Content: 25.0, Phosphorous Content: 60.0, Potassium Content: 22.0, Temperature: 21.63149148, Humidity: 21.17919701, pH: 5.887263027, Rainfall: 134.3649948, Plant kidneybeans
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 25.0, Phosphorous Content: 35.0, Potassium Content: 20.0, Temperature: 28.90245417, Humidity: 43.35365671, pH: 8.923095695, Rainfall: 71.90018566
Provide a one word answer.",mothbeans,  Corn
"Given the following:
Nitrogen Content: 38.0, Phosphorous Content: 135.0, Potassium Content: 203.0, Temperature: 41.36106301, Humidity: 82.79782954, pH: 6.444373116, Rainfall: 69.92107482, Plant grapes
Nitrogen Content: 38.0, Phosphorous Content: 77.0, Potassium Content: 22.0, Temperature: 28.234829, Humidity: 69.3159965, pH: 6.313284268, Rainfall: 35.36831423, Plant lentil
Nitrogen Content: 38.0, Phosphorous Content: 14.0, Potassium Content: 37.0, Temperature: 21.80523051, Humidity: 94.63612858, pH: 6.658402594, Rainfall: 102.6488846, Plant pomegranate
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 38.0, Phosphorous Content: 120.0, Potassium Content: 197.0, Temperature: 17.5438296, Humidity: 82.94703302, pH: 6.323722572, Rainfall: 73.77063744
Provide a one word answer.",grapes,  Lentil
"Given the following:
Nitrogen Content: 110.0, Phosphorous Content: 21.0, Potassium Content: 54.0, Temperature: 26.73690828, Humidity: 87.82430156, pH: 6.747537642, Rainfall: 47.46447019, Plant watermelon
Nitrogen Content: 110.0, Phosphorous Content: 28.0, Potassium Content: 46.0, Temperature: 24.29105004, Humidity: 88.04541346, pH: 6.49889585, Rainfall: 51.26046418, Plant watermelon
Nitrogen Content: 110.0, Phosphorous Content: 71.0, Potassium Content: 54.0, Temperature: 28.67208915, Humidity: 82.20793613, pH: 5.725418961, Rainfall: 94.37987496, Plant banana
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 110.0, Phosphorous Content: 22.0, Potassium Content: 47.0, Temperature: 29.03157242, Humidity: 91.82172592, pH: 6.243673725, Rainfall: 24.93861254
Provide a one word answer.",muskmelon,  Banana
"Given the following:
Nitrogen Content: 36.0, Phosphorous Content: 55.0, Potassium Content: 20.0, Temperature: 27.01470397, Humidity: 84.34262707, pH: 6.635968698, Rainfall: 55.296354, Plant mungbean
Nitrogen Content: 36.0, Phosphorous Content: 65.0, Potassium Content: 16.0, Temperature: 25.71269843, Humidity: 64.1123333, pH: 7.692013657, Rainfall: 50.17067771, Plant lentil
Nitrogen Content: 36.0, Phosphorous Content: 67.0, Potassium Content: 20.0, Temperature: 20.39078312, Humidity: 60.47528931, pH: 6.924042372, Rainfall: 53.31508572, Plant lentil
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 36.0, Phosphorous Content: 57.0, Potassium Content: 16.0, Temperature: 28.61409059, Humidity: 57.14218792, pH: 8.292875734, Rainfall: 57.02891698
Provide a one word answer.",mothbeans,  maize
"Given the following:
Nitrogen Content: 11.0, Phosphorous Content: 60.0, Potassium Content: 23.0, Temperature: 27.33684386, Humidity: 88.50229102, pH: 7.033012777, Rainfall: 51.09802625, Plant mungbean
Nitrogen Content: 11.0, Phosphorous Content: 34.0, Potassium Content: 32.0, Temperature: 29.14305008, Humidity: 49.40983294, pH: 6.831706773, Rainfall: 97.55155537, Plant mango
Nitrogen Content: 11.0, Phosphorous Content: 36.0, Potassium Content: 31.0, Temperature: 27.92063282, Humidity: 51.77965917, pH: 6.47544932, Rainfall: 100.2585673, Plant mango
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 11.0, Phosphorous Content: 46.0, Potassium Content: 24.0, Temperature: 27.65280218, Humidity: 89.80650642, pH: 6.459252023, Rainfall: 56.52558045
Provide a one word answer.",mungbean,  Mungbean
"Given the following:
Nitrogen Content: 36.0, Phosphorous Content: 56.0, Potassium Content: 20.0, Temperature: 25.4123765, Humidity: 49.66474269, pH: 7.437078236, Rainfall: 31.87416982, Plant mothbeans
Nitrogen Content: 36.0, Phosphorous Content: 43.0, Potassium Content: 21.0, Temperature: 28.36319404, Humidity: 84.8593608, pH: 7.140437859, Rainfall: 52.93031105, Plant mungbean
Nitrogen Content: 36.0, Phosphorous Content: 125.0, Potassium Content: 196.0, Temperature: 37.46566825, Humidity: 80.65968681, pH: 6.15526103, Rainfall: 66.83872293, Plant grapes
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 36.0, Phosphorous Content: 59.0, Potassium Content: 46.0, Temperature: 34.28879307, Humidity: 93.61082872, pH: 6.721130543, Rainfall: 127.2509777
Provide a one word answer.",papaya,  Corn
"Given the following:
Nitrogen Content: 22.0, Phosphorous Content: 67.0, Potassium Content: 22.0, Temperature: 29.03017561, Humidity: 64.49166566, pH: 7.475926645, Rainfall: 54.9393771, Plant lentil
Nitrogen Content: 22.0, Phosphorous Content: 67.0, Potassium Content: 78.0, Temperature: 17.16606398, Humidity: 14.42457525, pH: 6.204090835, Rainfall: 72.32667516, Plant chickpea
Nitrogen Content: 22.0, Phosphorous Content: 49.0, Potassium Content: 22.0, Temperature: 28.23494706, Humidity: 61.5620517, pH: 3.71105919, Rainfall: 72.66666443, Plant mothbeans
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 22.0, Phosphorous Content: 68.0, Potassium Content: 16.0, Temperature: 27.70496805, Humidity: 63.20915034, pH: 7.74672376, Rainfall: 37.46160727
Provide a one word answer.",lentil,  Lentil
"Given the following:
Nitrogen Content: 38.0, Phosphorous Content: 72.0, Potassium Content: 21.0, Temperature: 28.23416057, Humidity: 49.4421345, pH: 5.902103172, Rainfall: 186.5008581, Plant pigeonpeas
Nitrogen Content: 39.0, Phosphorous Content: 78.0, Potassium Content: 15.0, Temperature: 21.35499456, Humidity: 62.60136323, pH: 5.925391795, Rainfall: 41.78219834, Plant lentil
Nitrogen Content: 42.0, Phosphorous Content: 79.0, Potassium Content: 23.0, Temperature: 27.71678273, Humidity: 63.29103387, pH: 6.781841984, Rainfall: 68.56507978, Plant blackgram
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 41.0, Phosphorous Content: 78.0, Potassium Content: 21.0, Temperature: 25.19857725, Humidity: 60.37332688, pH: 6.581313137, Rainfall: 70.88787207
Provide a one word answer.",blackgram,  Lentil
"Given the following:
Nitrogen Content: 100.0, Phosphorous Content: 40.0, Potassium Content: 35.0, Temperature: 27.56441788, Humidity: 54.41094079, pH: 6.955787351, Rainfall: 177.816092, Plant coffee
Nitrogen Content: 100.0, Phosphorous Content: 18.0, Potassium Content: 52.0, Temperature: 26.20234499, Humidity: 80.38266489, pH: 6.87606733, Rainfall: 56.47941847, Plant watermelon
Nitrogen Content: 100.0, Phosphorous Content: 48.0, Potassium Content: 17.0, Temperature: 23.7805123, Humidity: 83.03878838, pH: 7.827877818, Rainfall: 66.26555904, Plant cotton
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 100.0, Phosphorous Content: 56.0, Potassium Content: 40.0, Temperature: 26.38905406, Humidity: 83.31240346, pH: 7.433313409, Rainfall: 176.1516409
Provide a one word answer.",jute,  Sugarcane
"Given the following:
Nitrogen Content: 17.0, Phosphorous Content: 134.0, Potassium Content: 204.0, Temperature: 39.04071989, Humidity: 80.18393287, pH: 6.499604931, Rainfall: 73.88467027, Plant grapes
Nitrogen Content: 17.0, Phosphorous Content: 136.0, Potassium Content: 196.0, Temperature: 23.87192332, Humidity: 90.49939035, pH: 5.882155988, Rainfall: 103.0548094, Plant apple
Nitrogen Content: 17.0, Phosphorous Content: 16.0, Potassium Content: 14.0, Temperature: 16.39624284, Humidity: 92.18151927, pH: 6.625538653, Rainfall: 102.944161, Plant orange
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 17.0, Phosphorous Content: 136.0, Potassium Content: 195.0, Temperature: 41.20733624, Humidity: 81.61051026, pH: 6.389783283, Rainfall: 65.90227462
Provide a one word answer.",grapes,  Orange
"Given the following:
Nitrogen Content: 37.0, Phosphorous Content: 78.0, Potassium Content: 79.0, Temperature: 19.95264829, Humidity: 14.82633099, pH: 7.786366322, Rainfall: 88.6810311, Plant chickpea
Nitrogen Content: 37.0, Phosphorous Content: 55.0, Potassium Content: 82.0, Temperature: 19.45591848, Humidity: 18.02235902, pH: 8.423873703, Rainfall: 78.44910564, Plant chickpea
Nitrogen Content: 37.0, Phosphorous Content: 73.0, Potassium Content: 21.0, Temperature: 29.50304807, Humidity: 63.46513414, pH: 5.560224583, Rainfall: 189.5208915, Plant pigeonpeas
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 37.0, Phosphorous Content: 79.0, Potassium Content: 19.0, Temperature: 27.54384835, Humidity: 69.3478631, pH: 7.143942758, Rainfall: 69.40878198
Provide a one word answer.",blackgram,  Corn
"Given the following:
Nitrogen Content: 90.0, Phosphorous Content: 86.0, Potassium Content: 55.0, Temperature: 27.96236771, Humidity: 84.15403614, pH: 5.644486582, Rainfall: 97.55986676, Plant banana
Nitrogen Content: 90.0, Phosphorous Content: 42.0, Potassium Content: 43.0, Temperature: 20.87974371, Humidity: 82.00274423, pH: 6.502985292, Rainfall: 202.9355362, Plant rice
Nitrogen Content: 90.0, Phosphorous Content: 23.0, Potassium Content: 54.0, Temperature: 28.55852465, Humidity: 90.45773041, pH: 6.159020864, Rainfall: 27.26588346, Plant muskmelon
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 90.0, Phosphorous Content: 44.0, Potassium Content: 38.0, Temperature: 23.83509503, Humidity: 83.88387074, pH: 7.473134377, Rainfall: 241.2013513
Provide a one word answer.",rice,  Banana
"Given the following:
Nitrogen Content: 19.0, Phosphorous Content: 17.0, Potassium Content: 39.0, Temperature: 24.72485577, Humidity: 85.56083187, pH: 6.728599215, Rainfall: 111.2787584, Plant pomegranate
Nitrogen Content: 19.0, Phosphorous Content: 39.0, Potassium Content: 17.0, Temperature: 29.2808618, Humidity: 81.8009244, pH: 6.890156495, Rainfall: 44.47427436, Plant mungbean
Nitrogen Content: 19.0, Phosphorous Content: 24.0, Potassium Content: 15.0, Temperature: 20.48954522, Humidity: 93.72485075, pH: 7.137136973, Rainfall: 111.8391951, Plant orange
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 19.0, Phosphorous Content: 7.0, Potassium Content: 9.0, Temperature: 27.255435, Humidity: 91.71369387, pH: 6.969883483, Rainfall: 101.139435
Provide a one word answer.",orange,  Orange
"Given the following:
Nitrogen Content: 18.0, Phosphorous Content: 19.0, Potassium Content: 27.0, Temperature: 27.75518664, Humidity: 52.34605806, pH: 4.772385986, Rainfall: 94.11213345, Plant mango
Nitrogen Content: 18.0, Phosphorous Content: 30.0, Potassium Content: 29.0, Temperature: 26.7627493, Humidity: 92.86056895, pH: 6.420018717, Rainfall: 224.5903664, Plant coconut
Nitrogen Content: 18.0, Phosphorous Content: 55.0, Potassium Content: 23.0, Temperature: 21.9989826, Humidity: 56.31006755, pH: 6.98571967, Rainfall: 136.8274312, Plant pigeonpeas
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 18.0, Phosphorous Content: 19.0, Potassium Content: 29.0, Temperature: 27.59376845, Humidity: 92.48519606, pH: 6.206077742, Rainfall: 162.8432736
Provide a one word answer.",coconut,  Mango
