Prompts_with_Context,Labels
"Given the following:
Nitrogen Content: 22.0, Phosphorous Content: 78.0, Potassium Content: 76.0, Temperature: 17.84851658, Humidity: 19.09172907, pH: 8.621662982, Rainfall: 76.32470713, Plant chickpea
Nitrogen Content: 22.0, Phosphorous Content: 67.0, Potassium Content: 22.0, Temperature: 29.03017561, Humidity: 64.49166566, pH: 7.475926645, Rainfall: 54.9393771, Plant lentil
Nitrogen Content: 22.0, Phosphorous Content: 72.0, Potassium Content: 85.0, Temperature: 18.86805647, Humidity: 15.65809214, pH: 6.391173589, Rainfall: 88.51048983, Plant chickpea
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 22.0, Phosphorous Content: 68.0, Potassium Content: 16.0, Temperature: 27.70496805, Humidity: 63.20915034, pH: 7.74672376, Rainfall: 37.46160727",lentil
"Given the following:
Nitrogen Content: 30.0, Phosphorous Content: 122.0, Potassium Content: 197.0, Temperature: 21.37784654, Humidity: 92.72043743, pH: 5.573241391, Rainfall: 106.1417017, Plant apple
Nitrogen Content: 25.0, Phosphorous Content: 130.0, Potassium Content: 197.0, Temperature: 39.70772192, Humidity: 82.68593454, pH: 5.554831977, Rainfall: 74.91506217, Plant grapes
Nitrogen Content: 38.0, Phosphorous Content: 120.0, Potassium Content: 197.0, Temperature: 17.5438296, Humidity: 82.94703302, pH: 6.323722572, Rainfall: 73.77063744, Plant grapes
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 3.0, Phosphorous Content: 141.0, Potassium Content: 197.0, Temperature: 21.98141856, Humidity: 91.12719303, pH: 6.142803397, Rainfall: 115.4789148",apple
"Given the following:
Nitrogen Content: 76.0, Phosphorous Content: 48.0, Potassium Content: 18.0, Temperature: 19.29563411, Humidity: 69.63481219, pH: 5.77597783, Rainfall: 83.21030571, Plant maize
Nitrogen Content: 76.0, Phosphorous Content: 56.0, Potassium Content: 39.0, Temperature: 24.39459498, Humidity: 89.89106506, pH: 6.551130445, Rainfall: 197.1220049, Plant jute
Nitrogen Content: 39.0, Phosphorous Content: 76.0, Potassium Content: 76.0, Temperature: 19.96837462, Humidity: 15.57324389, pH: 8.135900726, Rainfall: 69.15759062, Plant chickpea
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 76.0, Phosphorous Content: 57.0, Potassium Content: 18.0, Temperature: 18.9802729, Humidity: 74.52600826, pH: 6.092725883, Rainfall: 94.26249353",maize
"Given the following:
Nitrogen Content: 83.0, Phosphorous Content: 94.0, Potassium Content: 47.0, Temperature: 27.39872329, Humidity: 81.10523402, pH: 6.469370954, Rainfall: 112.1355384, Plant banana
Nitrogen Content: 82.0, Phosphorous Content: 78.0, Potassium Content: 46.0, Temperature: 25.05802193, Humidity: 84.97323747, pH: 5.738678895, Rainfall: 110.4408803, Plant banana
Nitrogen Content: 85.0, Phosphorous Content: 89.0, Potassium Content: 51.0, Temperature: 29.21144871, Humidity: 84.70189923, pH: 6.158164422, Rainfall: 108.5501443, Plant banana
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 89.0, Phosphorous Content: 83.0, Potassium Content: 47.0, Temperature: 28.09577643, Humidity: 77.79586769, pH: 5.63127166, Rainfall: 109.5408614",banana
"Given the following:
Nitrogen Content: 118.0, Phosphorous Content: 13.0, Potassium Content: 54.0, Temperature: 24.41311871, Humidity: 89.81574032, pH: 6.039584629, Rainfall: 44.07843475, Plant watermelon
Nitrogen Content: 82.0, Phosphorous Content: 24.0, Potassium Content: 33.0, Temperature: 26.53543168, Humidity: 67.09608099, pH: 6.809593554, Rainfall: 120.6494434, Plant coffee
Nitrogen Content: 82.0, Phosphorous Content: 75.0, Potassium Content: 55.0, Temperature: 27.34585147, Humidity: 78.4873835, pH: 6.281069505, Rainfall: 92.15524332, Plant banana
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 82.0, Phosphorous Content: 13.0, Potassium Content: 52.0, Temperature: 27.11535046, Humidity: 94.86907886, pH: 6.442810053, Rainfall: 26.51924782",muskmelon
"Given the following:
Nitrogen Content: 27.0, Phosphorous Content: 8.0, Potassium Content: 32.0, Temperature: 27.00648436, Humidity: 96.46168931, pH: 5.627860549, Rainfall: 144.3331315, Plant coconut
Nitrogen Content: 29.0, Phosphorous Content: 8.0, Potassium Content: 28.0, Temperature: 26.87037587, Humidity: 91.72546257, pH: 6.100429497, Rainfall: 214.4128874, Plant coconut
Nitrogen Content: 8.0, Phosphorous Content: 26.0, Potassium Content: 36.0, Temperature: 18.78359608, Humidity: 87.4024767, pH: 6.804781106, Rainfall: 102.5184759, Plant pomegranate
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 27.0, Phosphorous Content: 8.0, Potassium Content: 30.0, Temperature: 26.44600063, Humidity: 98.29937782, pH: 6.008386283, Rainfall: 221.2258168",coconut
"Given the following:
Nitrogen Content: 38.0, Phosphorous Content: 38.0, Potassium Content: 18.0, Temperature: 26.31051759, Humidity: 61.18749126, pH: 6.294130313, Rainfall: 35.73403813, Plant mothbeans
Nitrogen Content: 37.0, Phosphorous Content: 56.0, Potassium Content: 25.0, Temperature: 22.05592283, Humidity: 19.60379304, pH: 5.774755144, Rainfall: 126.7265372, Plant kidneybeans
Nitrogen Content: 19.0, Phosphorous Content: 38.0, Potassium Content: 26.0, Temperature: 31.48451729, Humidity: 48.77926304, pH: 4.525722333, Rainfall: 93.17221967, Plant mango
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 38.0, Phosphorous Content: 55.0, Potassium Content: 19.0, Temperature: 33.18184225, Humidity: 38.23184742, pH: 5.864623352, Rainfall: 198.8298806",pigeonpeas
"Given the following:
Nitrogen Content: 120.0, Phosphorous Content: 24.0, Potassium Content: 47.0, Temperature: 26.98603693, Humidity: 89.4138489, pH: 6.260838965, Rainfall: 58.54876687, Plant watermelon
Nitrogen Content: 120.0, Phosphorous Content: 23.0, Potassium Content: 28.0, Temperature: 25.67324193, Humidity: 51.29043632, pH: 6.877799264, Rainfall: 196.2736367, Plant coffee
Nitrogen Content: 120.0, Phosphorous Content: 19.0, Potassium Content: 49.0, Temperature: 25.79448878, Humidity: 84.26830701, pH: 6.762471629, Rainfall: 56.45229202, Plant watermelon
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 120.0, Phosphorous Content: 23.0, Potassium Content: 55.0, Temperature: 27.84492803, Humidity: 91.60666594, pH: 6.732049075, Rainfall: 26.47844429",muskmelon
"Given the following:
Nitrogen Content: 91.0, Phosphorous Content: 21.0, Potassium Content: 50.0, Temperature: 24.33528185, Humidity: 81.44030363, pH: 6.762030215, Rainfall: 48.32113628, Plant watermelon
Nitrogen Content: 90.0, Phosphorous Content: 39.0, Potassium Content: 43.0, Temperature: 24.44743944, Humidity: 82.286484, pH: 6.7693455, Rainfall: 190.9684885, Plant jute
Nitrogen Content: 90.0, Phosphorous Content: 42.0, Potassium Content: 43.0, Temperature: 20.87974371, Humidity: 82.00274423, pH: 6.502985292, Rainfall: 202.9355362, Plant rice
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 91.0, Phosphorous Content: 50.0, Potassium Content: 40.0, Temperature: 20.82477109, Humidity: 84.1341879, pH: 6.462391607, Rainfall: 230.2242223",rice
"Given the following:
Nitrogen Content: 67.0, Phosphorous Content: 68.0, Potassium Content: 49.0, Temperature: 35.26824831, Humidity: 92.38282957, pH: 6.821774589, Rainfall: 149.8488208, Plant papaya
Nitrogen Content: 76.0, Phosphorous Content: 56.0, Potassium Content: 39.0, Temperature: 24.39459498, Humidity: 89.89106506, pH: 6.551130445, Rainfall: 197.1220049, Plant jute
Nitrogen Content: 76.0, Phosphorous Content: 40.0, Potassium Content: 43.0, Temperature: 25.15745531, Humidity: 83.11713476, pH: 5.070175667, Rainfall: 231.3843163, Plant rice
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 76.0, Phosphorous Content: 49.0, Potassium Content: 42.0, Temperature: 24.958779, Humidity: 84.47963372, pH: 5.206373153, Rainfall: 196.9560008",rice
"Given the following:
Nitrogen Content: 87.0, Phosphorous Content: 54.0, Potassium Content: 20.0, Temperature: 25.61707368, Humidity: 63.4711755, pH: 6.576418207, Rainfall: 108.8303762, Plant maize
Nitrogen Content: 85.0, Phosphorous Content: 22.0, Potassium Content: 53.0, Temperature: 25.96534238, Humidity: 89.77076659, pH: 6.849471704, Rainfall: 59.46338556, Plant watermelon
Nitrogen Content: 83.0, Phosphorous Content: 45.0, Potassium Content: 21.0, Temperature: 18.83344471, Humidity: 58.75082029, pH: 5.716222912, Rainfall: 79.7532896, Plant maize
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 82.0, Phosphorous Content: 20.0, Potassium Content: 54.0, Temperature: 29.34033587, Humidity: 90.01506395, pH: 6.541150335, Rainfall: 21.44532907",muskmelon
"Given the following:
Nitrogen Content: 116.0, Phosphorous Content: 71.0, Potassium Content: 47.0, Temperature: 27.57278064, Humidity: 82.0638878, pH: 6.435785799, Rainfall: 91.34276507, Plant banana
Nitrogen Content: 116.0, Phosphorous Content: 52.0, Potassium Content: 19.0, Temperature: 22.94276687, Humidity: 75.37170612, pH: 6.114525877, Rainfall: 67.08022574, Plant cotton
Nitrogen Content: 116.0, Phosphorous Content: 81.0, Potassium Content: 55.0, Temperature: 26.42313317, Humidity: 83.6995044, pH: 5.915546415, Rainfall: 95.12322062, Plant banana
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 116.0, Phosphorous Content: 25.0, Potassium Content: 50.0, Temperature: 29.26092798, Humidity: 92.92367701, pH: 6.088885814, Rainfall: 28.70627683",muskmelon
"Given the following:
Nitrogen Content: 40.0, Phosphorous Content: 143.0, Potassium Content: 201.0, Temperature: 24.97256132, Humidity: 82.72828653, pH: 6.476757723, Rainfall: 66.70016285, Plant grapes
Nitrogen Content: 40.0, Phosphorous Content: 64.0, Potassium Content: 16.0, Temperature: 16.43340342, Humidity: 24.24045875, pH: 5.926676985, Rainfall: 140.3717815, Plant kidneybeans
Nitrogen Content: 40.0, Phosphorous Content: 73.0, Potassium Content: 20.0, Temperature: 21.59343016, Humidity: 20.31871249, pH: 5.811314232, Rainfall: 61.13872036, Plant kidneybeans
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 40.0, Phosphorous Content: 144.0, Potassium Content: 196.0, Temperature: 22.71750705, Humidity: 92.25479855, pH: 5.987262638, Rainfall: 107.0289866",apple
"Given the following:
Nitrogen Content: 56.0, Phosphorous Content: 59.0, Potassium Content: 55.0, Temperature: 37.03551903, Humidity: 91.79430166, pH: 6.551892638, Rainfall: 188.5181422, Plant papaya
Nitrogen Content: 57.0, Phosphorous Content: 64.0, Potassium Content: 55.0, Temperature: 26.68386496, Humidity: 92.9585411, pH: 6.583760499, Rainfall: 62.50689682, Plant papaya
Nitrogen Content: 56.0, Phosphorous Content: 50.0, Potassium Content: 52.0, Temperature: 33.08706051, Humidity: 92.25197542, pH: 6.770384816, Rainfall: 88.1300769, Plant papaya
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 56.0, Phosphorous Content: 57.0, Potassium Content: 48.0, Temperature: 31.56213762, Humidity: 93.0484859, pH: 6.506120752, Rainfall: 63.62250788",papaya
"Given the following:
Nitrogen Content: 23.0, Phosphorous Content: 23.0, Potassium Content: 30.0, Temperature: 32.82141065, Humidity: 47.45553843, pH: 4.755273631, Rainfall: 90.89173106, Plant mango
Nitrogen Content: 23.0, Phosphorous Content: 37.0, Potassium Content: 24.0, Temperature: 28.77833449, Humidity: 44.2252605, pH: 7.991902443, Rainfall: 33.95825723, Plant mothbeans
Nitrogen Content: 24.0, Phosphorous Content: 27.0, Potassium Content: 34.0, Temperature: 28.87862994, Humidity: 95.11320315, pH: 6.203376525, Rainfall: 145.0583117, Plant coconut
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 23.0, Phosphorous Content: 24.0, Potassium Content: 32.0, Temperature: 28.1218093, Humidity: 46.16888595, pH: 5.630619901, Rainfall: 93.30247448",mango
"Given the following:
Nitrogen Content: 0.0, Phosphorous Content: 55.0, Potassium Content: 22.0, Temperature: 22.98666928, Humidity: 20.57940608, pH: 5.916779289, Rainfall: 143.8584938, Plant kidneybeans
Nitrogen Content: 22.0, Phosphorous Content: 49.0, Potassium Content: 22.0, Temperature: 28.23494706, Humidity: 61.5620517, pH: 3.71105919, Rainfall: 72.66666443, Plant mothbeans
Nitrogen Content: 27.0, Phosphorous Content: 63.0, Potassium Content: 19.0, Temperature: 20.93409877, Humidity: 21.1893007, pH: 5.562201934, Rainfall: 133.1914419, Plant kidneybeans
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 22.0, Phosphorous Content: 55.0, Potassium Content: 20.0, Temperature: 33.95309131, Humidity: 69.96100028, pH: 7.423530351, Rainfall: 61.16350463",blackgram
"Given the following:
Nitrogen Content: 111.0, Phosphorous Content: 5.0, Potassium Content: 50.0, Temperature: 27.59350075, Humidity: 91.79742953, pH: 6.399891457, Rainfall: 24.84266123, Plant muskmelon
Nitrogen Content: 111.0, Phosphorous Content: 5.0, Potassium Content: 55.0, Temperature: 26.283443, Humidity: 84.42478917, pH: 6.520663422, Rainfall: 50.78669728, Plant watermelon
Nitrogen Content: 111.0, Phosphorous Content: 41.0, Potassium Content: 18.0, Temperature: 23.64328417, Humidity: 78.1258666, pH: 6.10539819, Rainfall: 80.96157332, Plant cotton
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 111.0, Phosphorous Content: 39.0, Potassium Content: 22.0, Temperature: 22.60361557, Humidity: 80.3509046, pH: 6.135025006, Rainfall: 88.57395505",cotton
"Given the following:
Nitrogen Content: 81.0, Phosphorous Content: 18.0, Potassium Content: 50.0, Temperature: 26.80750629, Humidity: 88.22874955, pH: 6.429788073, Rainfall: 58.79889057, Plant watermelon
Nitrogen Content: 18.0, Phosphorous Content: 9.0, Potassium Content: 40.0, Temperature: 19.44623085, Humidity: 89.02127045, pH: 5.627186257, Rainfall: 106.1606833, Plant pomegranate
Nitrogen Content: 86.0, Phosphorous Content: 18.0, Potassium Content: 45.0, Temperature: 28.96586565, Humidity: 90.71832938, pH: 6.566759102, Rainfall: 22.25838137, Plant muskmelon
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 81.0, Phosphorous Content: 18.0, Potassium Content: 50.0, Temperature: 26.44019475, Humidity: 80.91934337, pH: 6.507110986, Rainfall: 47.81847573",watermelon
"Given the following:
Nitrogen Content: 39.0, Phosphorous Content: 69.0, Potassium Content: 53.0, Temperature: 25.9300384, Humidity: 93.02357765, pH: 6.964955435, Rainfall: 241.8202079, Plant papaya
Nitrogen Content: 39.0, Phosphorous Content: 24.0, Potassium Content: 31.0, Temperature: 33.55695561, Humidity: 53.72979826, pH: 4.757114897, Rainfall: 98.67527561, Plant mango
Nitrogen Content: 31.0, Phosphorous Content: 48.0, Potassium Content: 45.0, Temperature: 40.78881819, Humidity: 92.90951393, pH: 6.563134737, Rainfall: 132.7923586, Plant papaya
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 39.0, Phosphorous Content: 64.0, Potassium Content: 53.0, Temperature: 23.0124018, Humidity: 91.07355541, pH: 6.598860305, Rainfall: 208.3357976",papaya
"Given the following:
Nitrogen Content: 36.0, Phosphorous Content: 65.0, Potassium Content: 80.0, Temperature: 18.2872007, Humidity: 16.67921616, pH: 6.051091339, Rainfall: 74.87445574, Plant chickpea
Nitrogen Content: 70.0, Phosphorous Content: 36.0, Potassium Content: 42.0, Temperature: 21.84106875, Humidity: 80.72886384, pH: 6.946209881, Rainfall: 202.3838319, Plant rice
Nitrogen Content: 34.0, Phosphorous Content: 80.0, Potassium Content: 19.0, Temperature: 31.49338309, Humidity: 63.0563645, pH: 6.521217963, Rainfall: 71.48327008, Plant blackgram
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 36.0, Phosphorous Content: 80.0, Potassium Content: 21.0, Temperature: 33.64769646, Humidity: 48.41490082, pH: 7.066087261, Rainfall: 100.4673278",pigeonpeas
"Given the following:
Nitrogen Content: 104.0, Phosphorous Content: 47.0, Potassium Content: 18.0, Temperature: 23.9656349, Humidity: 76.97696717, pH: 7.633437412, Rainfall: 90.75616738, Plant cotton
Nitrogen Content: 104.0, Phosphorous Content: 35.0, Potassium Content: 28.0, Temperature: 27.51006055, Humidity: 50.66687215, pH: 6.983732393, Rainfall: 143.9955548, Plant coffee
Nitrogen Content: 101.0, Phosphorous Content: 75.0, Potassium Content: 50.0, Temperature: 26.59386409, Humidity: 81.40740301, pH: 6.242528278, Rainfall: 109.9825551, Plant banana
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 104.0, Phosphorous Content: 25.0, Potassium Content: 55.0, Temperature: 29.81196601, Humidity: 90.36881284, pH: 6.123802502, Rainfall: 22.68766503",muskmelon
"Given the following:
Nitrogen Content: 60.0, Phosphorous Content: 61.0, Potassium Content: 78.0, Temperature: 20.71219282, Humidity: 19.83643308, pH: 6.317153205, Rainfall: 94.03659867, Plant chickpea
Nitrogen Content: 59.0, Phosphorous Content: 63.0, Potassium Content: 18.0, Temperature: 31.65531175, Humidity: 60.13263713, pH: 6.52669158, Rainfall: 66.69096751, Plant blackgram
Nitrogen Content: 60.0, Phosphorous Content: 57.0, Potassium Content: 24.0, Temperature: 18.66116213, Humidity: 61.55327249, pH: 6.121294041, Rainfall: 75.03247667, Plant maize
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 61.0, Phosphorous Content: 60.0, Potassium Content: 15.0, Temperature: 24.87502824, Humidity: 68.74248334, pH: 6.265564338, Rainfall: 91.26056654",maize
"Given the following:
Nitrogen Content: 29.0, Phosphorous Content: 36.0, Potassium Content: 25.0, Temperature: 28.28511547, Humidity: 88.4393979, pH: 7.130278657, Rainfall: 48.56690235, Plant mungbean
Nitrogen Content: 29.0, Phosphorous Content: 78.0, Potassium Content: 25.0, Temperature: 19.95991719, Humidity: 59.33157782, pH: 5.982854523, Rainfall: 195.787103, Plant pigeonpeas
Nitrogen Content: 27.0, Phosphorous Content: 24.0, Potassium Content: 29.0, Temperature: 26.61423461, Humidity: 96.97300803, pH: 6.142010637, Rainfall: 191.006688, Plant coconut
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 29.0, Phosphorous Content: 72.0, Potassium Content: 24.0, Temperature: 23.17409556, Humidity: 36.67847052, pH: 6.962386495, Rainfall: 162.5931264",pigeonpeas
"Given the following:
Nitrogen Content: 108.0, Phosphorous Content: 46.0, Potassium Content: 17.0, Temperature: 24.3017998, Humidity: 84.87668973, pH: 6.93221485, Rainfall: 65.0247867, Plant cotton
Nitrogen Content: 108.0, Phosphorous Content: 94.0, Potassium Content: 47.0, Temperature: 27.35911627, Humidity: 84.54625006, pH: 6.387431383, Rainfall: 90.81250457, Plant banana
Nitrogen Content: 108.0, Phosphorous Content: 33.0, Potassium Content: 31.0, Temperature: 23.69287069, Humidity: 66.76090123, pH: 7.393825704, Rainfall: 144.6576424, Plant coffee
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 108.0, Phosphorous Content: 60.0, Potassium Content: 17.0, Temperature: 22.75805656, Humidity: 76.75768356, pH: 6.558902588, Rainfall: 97.76600619",cotton
"Given the following:
Nitrogen Content: 101.0, Phosphorous Content: 75.0, Potassium Content: 50.0, Temperature: 26.59386409, Humidity: 81.40740301, pH: 6.242528278, Rainfall: 109.9825551, Plant banana
Nitrogen Content: 140.0, Phosphorous Content: 45.0, Potassium Content: 15.0, Temperature: 25.5308271, Humidity: 80.04662756, pH: 5.801047545, Rainfall: 99.39557151, Plant cotton
Nitrogen Content: 100.0, Phosphorous Content: 41.0, Potassium Content: 22.0, Temperature: 22.4204752, Humidity: 84.55794703, pH: 7.318802162, Rainfall: 93.46595573, Plant cotton
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 111.0, Phosphorous Content: 50.0, Potassium Content: 15.0, Temperature: 25.16820129, Humidity: 80.30351815, pH: 7.884550475, Rainfall: 84.62419032",cotton
"Given the following:
Nitrogen Content: 25.0, Phosphorous Content: 132.0, Potassium Content: 198.0, Temperature: 22.31944084, Humidity: 90.85174383, pH: 5.732757516, Rainfall: 100.1173443, Plant apple
Nitrogen Content: 25.0, Phosphorous Content: 17.0, Potassium Content: 40.0, Temperature: 18.91251245, Humidity: 87.74938524, pH: 6.608023872, Rainfall: 111.2800516, Plant pomegranate
Nitrogen Content: 2.0, Phosphorous Content: 143.0, Potassium Content: 196.0, Temperature: 22.71271308, Humidity: 90.45261746, pH: 5.669489065, Rainfall: 109.8852597, Plant apple
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 25.0, Phosphorous Content: 143.0, Potassium Content: 200.0, Temperature: 23.80436344, Humidity: 92.80441624, pH: 6.024248787, Rainfall: 100.6192543",apple
"Given the following:
Nitrogen Content: 27.0, Phosphorous Content: 56.0, Potassium Content: 20.0, Temperature: 19.25975367, Humidity: 20.51346956, pH: 5.542690119, Rainfall: 94.9533526, Plant kidneybeans
Nitrogen Content: 27.0, Phosphorous Content: 21.0, Potassium Content: 30.0, Temperature: 35.3915464, Humidity: 52.48823147, pH: 5.061081874, Rainfall: 91.22881052, Plant mango
Nitrogen Content: 27.0, Phosphorous Content: 59.0, Potassium Content: 22.0, Temperature: 21.81167649, Humidity: 23.20591245, pH: 5.794158504, Rainfall: 130.0608093, Plant kidneybeans
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 27.0, Phosphorous Content: 56.0, Potassium Content: 20.0, Temperature: 29.2114218, Humidity: 87.11497805, pH: 6.41874299, Rainfall: 51.53848218",mungbean
"Given the following:
Nitrogen Content: 55.0, Phosphorous Content: 77.0, Potassium Content: 22.0, Temperature: 31.4345059, Humidity: 62.99303471, pH: 7.76061831, Rainfall: 64.77651469, Plant blackgram
Nitrogen Content: 74.0, Phosphorous Content: 48.0, Potassium Content: 17.0, Temperature: 21.63162756, Humidity: 60.27766379, pH: 6.430616465, Rainfall: 69.21803098, Plant maize
Nitrogen Content: 74.0, Phosphorous Content: 43.0, Potassium Content: 23.0, Temperature: 25.95263264, Humidity: 61.89082199, pH: 6.325235159, Rainfall: 99.57981207, Plant maize
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 74.0, Phosphorous Content: 56.0, Potassium Content: 22.0, Temperature: 18.28362235, Humidity: 66.65952796, pH: 6.829199275, Rainfall: 80.97573281",maize
"Given the following:
Nitrogen Content: 63.0, Phosphorous Content: 43.0, Potassium Content: 19.0, Temperature: 18.51816776, Humidity: 55.53128131, pH: 6.641906353, Rainfall: 90.988051, Plant maize
Nitrogen Content: 63.0, Phosphorous Content: 35.0, Potassium Content: 16.0, Temperature: 22.02720976, Humidity: 65.35549924, pH: 6.272417541, Rainfall: 83.73280082, Plant maize
Nitrogen Content: 74.0, Phosphorous Content: 48.0, Potassium Content: 17.0, Temperature: 21.63162756, Humidity: 60.27766379, pH: 6.430616465, Rainfall: 69.21803098, Plant maize
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 63.0, Phosphorous Content: 43.0, Potassium Content: 17.0, Temperature: 19.28889933, Humidity: 65.47050802, pH: 6.807487794, Rainfall: 71.3195307",maize
"Given the following:
Nitrogen Content: 22.0, Phosphorous Content: 55.0, Potassium Content: 24.0, Temperature: 28.56800579, Humidity: 57.30636014, pH: 8.66077954, Rainfall: 64.53027638, Plant mothbeans
Nitrogen Content: 22.0, Phosphorous Content: 38.0, Potassium Content: 31.0, Temperature: 31.53356352, Humidity: 53.06009323, pH: 5.821106036, Rainfall: 98.57025046, Plant mango
Nitrogen Content: 0.0, Phosphorous Content: 55.0, Potassium Content: 22.0, Temperature: 22.98666928, Humidity: 20.57940608, pH: 5.916779289, Rainfall: 143.8584938, Plant kidneybeans
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 22.0, Phosphorous Content: 54.0, Potassium Content: 20.0, Temperature: 28.56149805, Humidity: 83.63802195, pH: 6.689825155, Rainfall: 41.013132",mungbean
"Given the following:
Nitrogen Content: 114.0, Phosphorous Content: 40.0, Potassium Content: 17.0, Temperature: 24.32630461, Humidity: 80.13456404, pH: 6.363406102, Rainfall: 69.45072055, Plant cotton
Nitrogen Content: 40.0, Phosphorous Content: 72.0, Potassium Content: 77.0, Temperature: 17.02498456, Humidity: 16.98861173, pH: 7.485996067, Rainfall: 88.55123143, Plant chickpea
Nitrogen Content: 120.0, Phosphorous Content: 48.0, Potassium Content: 16.0, Temperature: 22.46054478, Humidity: 75.40989245, pH: 7.456971816, Rainfall: 71.85436078, Plant cotton
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 140.0, Phosphorous Content: 40.0, Potassium Content: 17.0, Temperature: 22.72767171, Humidity: 77.07598065, pH: 6.006085786, Rainfall: 77.55176318",cotton
"Given the following:
Nitrogen Content: 10.0, Phosphorous Content: 5.0, Potassium Content: 42.0, Temperature: 20.24104904, Humidity: 91.08706822, pH: 6.887005997, Rainfall: 109.2537734, Plant pomegranate
Nitrogen Content: 20.0, Phosphorous Content: 7.0, Potassium Content: 9.0, Temperature: 29.47741671, Humidity: 91.57802915, pH: 7.129136941, Rainfall: 111.1727497, Plant orange
Nitrogen Content: 5.0, Phosphorous Content: 77.0, Potassium Content: 19.0, Temperature: 31.08564994, Humidity: 66.68832981, pH: 6.242052013, Rainfall: 175.9303271, Plant pigeonpeas
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 10.0, Phosphorous Content: 5.0, Potassium Content: 5.0, Temperature: 21.21306973, Humidity: 91.35349216, pH: 7.817846496, Rainfall: 112.9834361",orange
"Given the following:
Nitrogen Content: 73.0, Phosphorous Content: 43.0, Potassium Content: 42.0, Temperature: 26.58361011, Humidity: 78.00774772, pH: 6.310699968, Rainfall: 154.8238864, Plant jute
Nitrogen Content: 70.0, Phosphorous Content: 42.0, Potassium Content: 43.0, Temperature: 23.16814977, Humidity: 76.66724969, pH: 6.508342839, Rainfall: 157.1215052, Plant jute
Nitrogen Content: 84.0, Phosphorous Content: 37.0, Potassium Content: 42.0, Temperature: 25.49674786, Humidity: 81.13449097, pH: 6.691074249, Rainfall: 169.9288234, Plant jute
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 42.0, Phosphorous Content: 73.0, Potassium Content: 25.0, Temperature: 34.03679184, Humidity: 67.21113844, pH: 6.501869314, Rainfall: 73.23573601",blackgram
"Given the following:
Nitrogen Content: 117.0, Phosphorous Content: 51.0, Potassium Content: 15.0, Temperature: 22.9535715, Humidity: 78.71555832, pH: 6.044556594, Rainfall: 99.75336197, Plant cotton
Nitrogen Content: 117.0, Phosphorous Content: 81.0, Potassium Content: 53.0, Temperature: 29.50704598, Humidity: 78.20585613, pH: 5.507641778, Rainfall: 98.12565829, Plant banana
Nitrogen Content: 117.0, Phosphorous Content: 25.0, Potassium Content: 53.0, Temperature: 29.11858526, Humidity: 92.12543021, pH: 6.413927319, Rainfall: 24.52020164, Plant muskmelon
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 117.0, Phosphorous Content: 56.0, Potassium Content: 15.0, Temperature: 25.99237426, Humidity: 77.0543546, pH: 7.368258226, Rainfall: 89.1188212",cotton
